ksic_prefix,sector_code,sector,industry_code,industry,exclude_model
01,A,농업임업어업,A01,작물재배, 
02,A,농업임업어업,A02,임업, 
03,A,농업임업어업,A03,어업, 
05,B,광업,B05,석탄원유, 
06,B,광업,B06,금속광업, 
07,B,광업,B07,비금속광업, 
10,C,제조업,C10,식료품, 
11,C,제조업,C11,음료, 
12,C,제조업,C12,담배, 
13,C,제조업,C13,섬유, 
14,C,제조업,C14,의복, 
15,C,제조업,C15,가죽가방, 
16,C,제조업,C16,목재, 
17,C,제조업,C17,펄프종이, 
18,C,제조업,C18,인쇄기록매체, 
19,C,제조업,C19,코크스석유정제, 
20,C,제조업,C20,화학물질, 
21,C,제조업,C21,의약품, 
22,C,제조업,C22,고무플라스틱, 
23,C,제조업,C23,비금속광물, 
24,C,제조업,C24,1차금속, 
25,C,제조업,C25,금속가공, 
26,C,제조업,C26,전자부품반도체, 
27,C,제조업,C27,의료정밀광학, 
28,C,제조업,C28,전기장비, 
29,C,제조업,C29,기타기계, 
30,C,제조업,C30,자동차, 
31,C,제조업,C31,기타운송장비, 
32,C,제조업,C32,가구, 
33,C,제조업,C33,기타제품, 
34,C,제조업,C34,산업용기계수리, 
35,D,전기가스증기,D35,전기가스, 
36,E,수도하수폐기물,E36,수도, 
37,E,수도하수폐기물,E37,하수폐기물, 
38,E,수도하수폐기물,E38,폐기물처리, 
39,E,수도하수폐기물,E39,환경복원, 
41,F,건설업,F41,종합건설, 
42,F,건설업,F42,전문건설, 
45,G,도소매업,G45,자동차판매, 
46,G,도소매업,G46,도매, 
47,G,도소매업,G47,소매, 
49,H,운수창고,H49,육상운송, 
50,H,운수창고,H50,수상운송, 
51,H,운수창고,H51,항공운송, 
52,H,운수창고,H52,창고운송서비스, 
55,I,숙박음식,I55,숙박, 
56,I,숙박음식,I56,음식점, 
58,J,정보통신,J58,출판, 
59,J,정보통신,J59,영상오디오, 
60,J,정보통신,J60,방송, 
61,J,정보통신,J61,통신, 
62,J,정보통신,J62,컴퓨터프로그래밍, 
63,J,정보통신,J63,정보서비스, 
64,K,금융보험,K64,금융,FINANCIAL
65,K,금융보험,K65,보험,FINANCIAL
66,K,금융보험,K66,금융보험서비스,FINANCIAL
68,L,부동산업,L68,부동산, 
70,M,전문과학기술,M70,연구개발, 
71,M,전문과학기술,M71,전문서비스, 
72,M,전문과학기술,M72,건축기술, 
73,M,전문과학기술,M73,기타과학기술, 
74,M,전문과학기술,M74,전문과학기타, 
75,N,사업시설관리,N75,사업시설, 
76,N,사업시설관리,N76,사업지원, 
77,N,사업시설관리,N77,임대, 
84,O,공공행정,O84,공공행정, 
85,P,교육,P85,교육, 
86,Q,보건사회복지,Q86,보건, 
87,Q,보건사회복지,Q87,사회복지, 
90,R,예술스포츠여가,R90,창작예술, 
91,R,예술스포츠여가,R91,스포츠여가, 
94,S,협회수리개인,S94,협회, 
95,S,협회수리개인,S95,개인수리, 
96,S,협회수리개인,S96,기타개인서비스, 
