Country,Category,Source,URL,Authority,Use,Typical Delay,As-of Rule,Access/Cost,Known Limitations,Fallback,Last Verified
KR,Disclosure,DART,https://dart.fss.or.kr/,Primary,Statutory filings and original reports,Near real-time filings,Record filing date/time and report period,Free web,Korean filings; amendments and consolidated/separate scope must be checked,Company IR,2026-08-07
KR,API/Financials,OpenDART,https://opendart.fss.or.kr/,Primary,"Structured filings, financial statements, ownership and corporate actions",API dependent,Record API retrieval time and fiscal scope,API key may be required,Taxonomy and issuer mapping can differ; verify against original filing,DART,2026-08-07
KR,Exchange disclosure,KIND,https://kind.krx.co.kr/,Primary,"Timely exchange disclosure, IR and listing information",Near real-time,Use local disclosure timestamp,Free web,Exchange disclosure is not a substitute for full statutory filing,DART / company IR,2026-08-07
KR,Price/Flow/Short,KRX Data Marketplace,https://data.krx.co.kr/,Primary,"OHLCV, investor flow, short selling and market statistics",Dataset dependent,"Record trade date, adjustment and publication time",Free web; some data restrictions,Real-time depth and vendor adjustment methodology may differ,Licensed vendor / broker,2026-08-07
KR,Macro,Bank of Korea ECOS,https://ecos.bok.or.kr/,Primary,"Rates, FX and macro series",Release schedule,Record observation and release dates,Free web/API,Series revisions and units require checking,Statistics Korea / source agency,2026-08-07
KR,Optional Broker API/MCP,Korea Investment Open API / KIS Trading MCP,https://github.com/koreainvestment/open-trading-api/tree/main/MCP/Kis%20Trading%20MCP,Broker/Official API,Optional intraday enhancement only; never required for Cloud-First 3.7,Endpoint dependent; intraday/real-time or daily,"Record observation timestamp, session, endpoint definition, and estimated vs final status",Optional KIS account/App Key and hosted/connected MCP; not required,Optional local/remote integration; some flows are estimates; do not make it a dependency,KRX / official web / trusted market portal,2026-08-21
KR,KRX Skill/EOD fallback,moai data-stock / k-skill proxy,https://github.com/modu-ai/moai-cowork/tree/main/plugins/moai-analyst/skills/data-stock,Secondary wrapper over KRX,"Optional Cloud Skill for ticker/basic info/completed-day price, volume and market-cap fallback",Daily snapshot,Always record base_date; never describe as live quote,Proxy dependent,"No real-time quotes, order book, or intraday investor flow",KRX Open API / Data Marketplace,2026-08-21
KR,Macro Skill,bok-ecos-stats,https://github.com/NomaDamas/k-skill/tree/main/bok-ecos-stats,Secondary helper over BOK ECOS,Optional Cloud Skill for BOK macro series retrieval; fallback to official ECOS web,Official release schedule,"Record observation period, release date when available, unit and cycle",Public sample key limited; personal ECOS key optional,Macro data only; not stock price or investment decision engine,BOK ECOS official web/API,2026-08-21
US,Filings,SEC EDGAR,https://www.sec.gov/edgar/search/,Primary,"10-K, 10-Q, 8-K, DEF 14A, Form 4, 13D/G and 13F",Near real-time filings,Record acceptance time and fiscal period,Free web,Inline XBRL facts can require context validation,Company IR,2026-08-07
US,API/Filings,SEC EDGAR APIs,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,Primary,Submissions and XBRL company facts,Near real-time / API update dependent,Record accession and retrieval time,Free; follow fair-access policy,Company facts need filing-context and restatement checks,EDGAR filing,2026-08-07
US,Options volume/OI,OCC Market Data,https://www.theocc.com/market-data/market-data-reports/volume-and-open-interest,Primary/Industry utility,Official options volume and open interest reports,Daily/report dependent,Record trade date and report date,Free reports; detailed data may vary,Open interest is not direction and may be delayed,Cboe / licensed vendor,2026-08-07
US,Options statistics,Cboe Options Market Statistics,https://www.cboe.com/us/options/market_statistics/,Primary/Exchange,Daily options market statistics and exchange data,Daily/intraday by page,Record timestamp and session,Free pages; licensed datasets may cost,Coverage and definitions vary by statistic,OCC / licensed vendor,2026-08-07
US,Short interest,FINRA Equity Short Interest,https://www.finra.org/finra-data/browse-catalog/equity-short-interest,Primary/Regulatory,Twice-monthly reported short interest,Scheduled and delayed,Record settlement date and publication date,Free web/download,Not real-time; not the same as daily short volume,Exchange / licensed vendor,2026-08-07
US,Macro,Federal Reserve,https://www.federalreserve.gov/,Primary,"Policy, balance sheet and statements",Release schedule,Record release time and vintage,Free web,Policy interpretation is analytical,FRED / source agency,2026-08-07
US,Macro database,FRED,https://fred.stlouisfed.org/,Primary aggregator,Macro and financial series,Series dependent,"Record observation, release and vintage",Free web/API,"Check source agency, units and revisions",Source agency,2026-08-07
US,Labor,BLS,https://www.bls.gov/,Primary,"Employment, CPI and PPI",Release schedule,Record release and revision vintage,Free web,Revisions and seasonal adjustment matter,FRED,2026-08-07
US,National accounts,BEA,https://www.bea.gov/,Primary,"GDP, PCE and corporate profits",Release schedule,Record estimate vintage,Free web,Multiple estimate vintages and revisions,FRED,2026-08-07
US,Treasury,U.S. Treasury,https://home.treasury.gov/,Primary,"Yields, fiscal and sanctions data",Daily/release schedule,Record observation and publication time,Free web,Different yield series have different definitions,FRED,2026-08-07
JP,Statutory filings,EDINET,https://disclosure2.edinet-fsa.go.jp/,Primary,"Annual, semiannual, large-shareholding and extraordinary reports",Near real-time filings,Record submission time and report period,Free web,1Q/3Q statutory quarterly report requirement changed from April 2024,Company IR / TDnet,2026-08-07
JP,API/Filings,EDINET API v2,https://disclosure2.edinet-fsa.go.jp/guide/static/disclosure/WZEK0110.html,Primary,Programmatic document list and filing retrieval,API dependent,Record document ID and retrieval time,API key/terms may apply,XBRL contexts and amended filings require validation,EDINET web,2026-08-07
JP,Timely disclosure,TDnet / JPX,https://www.jpx.co.jp/english/listing/disclosure/,Primary,"Earnings summaries, revisions, dividends, buybacks and M&A",Near real-time,Use local release time,Free web,PDF tables and Japanese terminology require careful parsing,Company IR,2026-08-07
